,I,I_inhib,RS Pyramidal,RS Inhibitory,FS,RS Pyramidal +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,RS Inhibitory +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,FS +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,Cb stellate,Cb stellate +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,Cb stellate $\Delta$$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,STN,STN +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,STN $\Delta$$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$
156,0.78,0.273,127.6222893,171.8694485,161.0825412,35.383618,78.47561628,62.31030804,83.7420816,30.18898372,33.90777143,123.3524554,83.3234366,93.23807367
157,0.785,0.27475,128.4032203,172.6873339,162.0130373,35.63933043,80.03206661,63.15997746,84.30350181,30.53808167,34.09273281,123.5380267,83.86132998,93.64603102
158,0.79,0.2765,129.1810132,173.5061509,162.9287713,35.89661854,81.59208715,64.02445551,84.86392868,30.88707755,34.27834096,123.7290615,84.35437429,94.02050415
159,0.795,0.27825,129.9545708,174.3348489,163.8493539,36.15546917,83.15085414,64.90214442,85.42316399,31.23308268,34.46458359,123.9293836,84.83788776,94.4341783
160,0.8,0.28,130.7268511,175.1631328,164.7545917,36.41660597,84.71162135,65.79472351,85.97936907,31.57998696,34.65144764,124.1228861,85.34955633,94.79972241
161,0.805,0.28175,131.492496,175.9930489,165.6621544,36.68004908,86.26747755,66.69806014,86.53654224,31.92529551,34.83820829,124.2995236,85.81757596,95.18493763
162,0.81,0.2835,132.2565997,176.8312444,166.5597498,36.94485592,87.82263819,67.61863413,87.09038323,32.27042668,35.0262697,124.4967115,86.27872949,95.54282437
163,0.815,0.28525,133.0157229,177.6665826,167.4535658,37.21238035,89.37099384,68.55115705,87.64591345,32.61578604,35.21491546,124.6894875,86.76730559,95.94002413
164,0.82,0.287,133.7699749,178.5106279,168.3434316,37.48125937,90.91464229,69.49684549,88.19757275,32.96106753,35.4038011,124.8748703,87.23751023,96.28817823
165,0.825,0.28875,134.5229947,179.3616168,169.2249816,37.75167838,92.45491399,70.4569993,88.7490542,33.30696619,35.59281927,125.0541264,87.67835398,96.6559177
166,0.83,0.2905,135.2715994,180.2130691,170.1025182,38.02509729,93.9868789,71.43294773,89.29812616,33.65270504,35.78315518,125.2461377,88.146708,97.01586692
167,0.835,0.29225,136.0136446,181.0720619,170.9746069,38.30104675,95.51102084,72.41858393,89.84905517,34.00000057,35.97409945,125.4292471,88.57399792,97.37601634
168,0.84,0.294,136.7576813,181.9382803,171.8453772,38.57868074,97.03050058,73.41998318,90.39594783,34.3482926,36.16563887,125.6167896,89.02633284,97.70985113
169,0.845,0.29575,137.4932313,182.8080245,172.7047262,38.85834337,98.54201987,74.43321153,90.94217884,34.69671037,36.3570272,125.7949668,89.44362896,98.07948478
170,0.85,0.2975,138.2267571,183.6863892,173.5656284,39.14055636,100.044052,75.46121344,91.48759143,35.04741222,36.5497076,125.9734393,89.90639591,98.4083101
171,0.855,0.29925,138.9560783,184.5685699,174.4152278,39.42440524,101.5393713,76.50031877,92.03130954,35.39823009,36.74219339,126.1626309,90.31213388,98.75469454
172,0.86,0.301,139.6815475,185.4578019,175.2640238,39.71169391,103.0261745,77.5533045,92.57583409,35.7511723,36.93623756,126.3473349,90.71237586,99.09071103
173,0.865,0.30275,140.4044133,186.3579621,176.109265,40,104.5058417,78.6179382,93.11741532,36.1054289,37.13040674,126.5122037,91.13736808,99.43010554
174,0.87,0.3045,141.1222869,187.2621939,176.9485088,40.29252456,105.9767181,79.69557178,93.65723104,36.46086642,37.32581339,126.6954002,91.54619883,99.75831834
175,0.875,0.30625,141.8383121,188.1754687,177.7832449,40.58606335,107.4375497,80.78523919,94.19972381,36.8180984,37.5219706,126.8816795,91.96058153,100.0927783
176,0.88,0.308,142.548925,189.1006656,178.6109109,40.88223904,108.8951457,81.88373523,94.73810977,37.17617643,37.71787137,127.0558414,92.3387493,100.400141
177,0.885,0.30975,143.2579357,190.0334759,179.4366904,41.1821243,110.3420919,82.99595754,95.27592416,37.53675502,37.9150716,127.2275364,92.74520992,100.7420314
178,0.89,0.3115,143.9626397,190.9779704,180.2560683,41.483122,111.7831745,84.11777405,95.81222625,37.89918949,38.11281485,127.4076603,93.13492912,101.0627614
179,0.895,0.31325,144.6655178,191.9347495,181.0720619,41.78854994,113.2159676,85.24976294,96.34879095,38.26402312,38.31108695,127.5800712,93.52931204,101.3639604
180,0.9,0.315,145.3635296,0,181.8836901,42.09513683,114.6420256,86.39050103,96.8855451,38.62942911,38.51041827,127.7609041,93.88970097,101.695415
181,0.905,0.31675,146.0555699,0,182.6884417,42.40539676,116.0627113,87.54303937,97.41843519,38.99755867,38.70994156,127.9275962,94.29463999,101.9901966
182,0.91,0.3185,146.7484947,0,183.489945,42.71765699,117.4755219,88.70432792,97.95103154,39.36852935,38.91050646,128.0958556,94.64951681,102.3155058
183,0.915,0.32025,147.4360886,0,184.2913277,43.0334697,118.8845224,89.87419229,98.48456663,39.74010118,39.11139019,128.2755692,95.02541483,102.6056323
184,0.92,0.322,148.1214943,0,185.0810064,43.35260297,120.2863209,91.05074087,99.01390616,40.11472895,39.31305739,128.4506142,95.3707665,102.9265949
185,0.925,0.32375,148.8035478,0,185.8736059,43.67419235,121.6866125,92.23645036,99.54496159,40.49156914,39.51554089,128.6171729,95.75693325,103.2282045
186,0.93,0.3255,149.479855,0,186.6609071,43.99736116,123.0782113,93.4282376,100.0740741,40.86954935,39.71800336,128.7814313,96.09602896,103.5095977
187,0.935,0.32725,150.1561712,0,187.4415892,44.32624113,124.4680466,94.62644115,100.6015995,41.25088503,39.92255106,128.9578993,96.4567507,103.8216405
188,0.94,0.329,150.8235052,0,188.2184726,44.65586067,125.8515436,95.82944559,101.1302946,41.6337073,40.12680127,129.1230121,96.80714136,104.1000467
189,0.945,0.33075,151.4937575,0,188.9865899,44.98977686,127.2366119,97.03933366,101.6584503,42.0193298,40.33152676,129.2976776,97.16040846,104.4072972
190,0.95,0.3325,152.1583031,0,189.7609154,45.32734358,128.6174165,98.25548176,102.1819081,42.4071089,40.5381938,129.4560519,97.50103461,104.6977558
191,0.955,0.33425,152.8222651,0,190.5221068,45.66754214,129.9974408,99.47422784,102.7059301,42.79687971,40.74398671,129.6199205,97.84703641,104.9805216
192,0.96,0.336,153.4827322,0,191.2808998,46.01104497,131.3746903,100.6969884,103.2319777,43.189439,40.95087975,129.7907446,98.16636287,105.2674199
193,0.965,0.33775,154.1357024,0,192.0385477,46.35881804,132.7514207,101.9245868,103.7551552,43.58420867,41.15952426,129.9594212,98.52161957,105.5450793
194,0.97,0.3395,154.7894399,0,192.7932683,46.70987441,134.1288233,103.1511942,104.27738,43.9806502,41.36847044,130.1192908,98.83345147,105.828543
195,0.975,0.34125,155.4363162,0,193.5407389,47.06460329,135.5094809,104.3841336,104.7985843,44.38078869,41.57757275,130.2797833,99.16643744,106.1209305
196,0.98,0.343,156.0843684,0,194.2876994,47.42146021,136.8898477,105.6176821,105.3196644,44.78189222,41.78771872,130.4497342,99.49150731,106.3785812
197,0.985,0.34475,156.727233,0,195.0298992,47.78306669,138.2738248,106.8526984,105.8391413,45.18664086,41.9983204,130.6148644,99.8155834,106.6676327
198,0.99,0.3465,157.3692077,0,195.7651945,48.14829761,139.6591663,108.0908122,106.3595149,45.5933097,42.20935934,130.7769299,100.157476,106.9214308
199,0.995,0.34825,158.0063601,0,196.4991711,48.51719453,141.0494314,109.3287504,106.8764138,46.00184147,42.42167297,130.9305593,100.455131,107.2069134
